[11/08/23, 12:07:11 PM] VIT AP. (cse) Freshers place:  Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[11/08/23, 12:07:11 PM] ~ TanK-human:  ~ TanK-human created this group
[15/08/23, 7:40:45 PM] ~ Karthik:  ~ Karthik joined from the community
[15/08/23, 7:43:58 PM] ~ Kishore Balaji:  ~ Kishore Balaji joined from the community
[16/08/23, 11:12:20 AM] ~ Sai Vardhan..:  ~ Sai Vardhan.. joined from the community
[16/08/23, 5:35:26 PM] ~ TanK-human: VITIAN-25, [16/08/2023, 10:05]
https://youtube.com/shorts/aLPADLyFOGA?feature=share

VITIAN-25, [16/08/2023, 12:18]
https://youtube.com/shorts/Bkllo35kzEU?feature=share
[17/08/23, 3:47:25 PM] ~ AbnaV:  ~ AbnaV joined from the community
[17/08/23, 3:47:30 PM] ~ Pratyush:  ~ Pratyush joined from the community
[17/08/23, 3:47:40 PM]  +91 88481 73549 :  +91 88481 73549  joined from the community
[17/08/23, 3:47:45 PM] ~ Sai Srija:  ~ Sai Srija joined from the community
[17/08/23, 3:47:50 PM] ~ SRavan:  ~ SRavan joined from the community
[17/08/23, 3:47:54 PM] ~ Dakshit:  ~ Dakshit joined from the community
[17/08/23, 3:47:57 PM] ~ Adhithya:  ~ Adhithya joined from the community
[17/08/23, 3:48:01 PM] ~ Abhishek Choudhary:  ~ Abhishek Choudhary joined from the community
[17/08/23, 3:49:00 PM] ~ Gopesh:  ~ Gopesh joined from the community
[17/08/23, 3:50:22 PM] ~ Sumit:  ~ Sumit joined from the community
[17/08/23, 3:53:16 PM] ~ SM: *Technical internship and projects For Freshers*

*Artificial Intelligence / Full Stack Web Development / Machine Learning / Data Science*

Anyone Can Apply - *https://forms.gle/Ad8Ke8EMWTXyub4A6*

Whatsapp Group - *https://chat.whatsapp.com/JT9S56YGIsN67WYAfwSP9K*
[17/08/23, 3:54:14 PM] ~ Jithendra: Bro freshers kee coading em vosthadhi bro
[17/08/23, 3:55:49 PM] ~ TanK-human: Are you senior or from other company?
[17/08/23, 3:56:17 PM] ~ SM: Ikkada basic level nunchi teaching untundhi
[17/08/23, 3:56:42 PM] ~ Jithendra: Oh
[17/08/23, 3:56:46 PM] ~ TanK-human: English please
[17/08/23, 3:56:57 PM] ~ TanK-human: Who's this?
[17/08/23, 3:57:37 PM] ~ Jithendra: Bro anyway who are you
[17/08/23, 3:58:33 PM] ~ TanK-human: So you are saying you teach us coding from basic level?
[17/08/23, 3:59:10 PM] ~ SM: Bro this side Subham from Cse 2nd year
[17/08/23, 3:59:20 PM] ~ Jithendra: Ohh
[17/08/23, 3:59:33 PM] ~ SM: I got this from a senior from 3rd year
[17/08/23, 3:59:59 PM] ~ TanK-human: Is he in this group?
[17/08/23, 4:00:05 PM] ~ SM: Not I this platform will teach you
[17/08/23, 4:00:26 PM] ~ TanK-human: What is the name of the platform?
[17/08/23, 4:00:44 PM] ~ SM: No he shared me ...and I shared you so that you people will get benefitted
[17/08/23, 4:01:01 PM] ~ SM: Edu - Versity
[17/08/23, 4:01:25 PM] ~ TanK-human: Intership in first year?
[17/08/23, 4:01:31 PM] ~ SM: Seniors are also doing from this platform so they suggested me
[17/08/23, 4:01:52 PM] ~ TanK-human: Are all doing this!
[17/08/23, 4:01:56 PM] ~ TanK-human: ?
[17/08/23, 4:02:27 PM] ~ SM: It is just like live projects in which you can work and upload in Github
[17/08/23, 4:03:14 PM] ~ SM: It is not compulsory but you can do to enhance your skills and get good opportunity in placement drives
[17/08/23, 4:03:22 PM] ~ TanK-human: Bro we are Freshers. Your are saying projects.
[17/08/23, 4:03:59 PM] ~ SM: First there will be proper training before they give you projects
[17/08/23, 4:04:17 PM] ~ SM: 1st year is the best time to learn
[17/08/23, 4:04:33 PM] ~ SM: Even we are very late for projects
[17/08/23, 4:09:54 PM] ~ Atmadip  :  ~ Atmadip   joined from the community
[17/08/23, 4:10:03 PM] ~ Satyajit:  ~ Satyajit joined from the community
[17/08/23, 4:04:50 PM] ~ TanK-human: Are you fresher?
[17/08/23, 4:04:56 PM] ~ Jithendra: Bro did you take in your 1st year
[17/08/23, 4:05:26 PM] ~ Jithendra: He is 2nd year it since bro
[17/08/23, 4:05:47 PM] ~ SM: I was not aware about it
[17/08/23, 4:06:27 PM] ~ Jithendra: .
[17/08/23, 4:06:49 PM] ~ Jithendra: So now are you doing training for live projects
[17/08/23, 4:14:15 PM] ~ kcube7408:  ~ kcube7408 joined using this group's invite link
[17/08/23, 4:15:27 PM] ~ kcube7408: Hi
[17/08/23, 4:15:37 PM] ~ Anish: Hemlo
[17/08/23, 4:15:44 PM] ~ TanK-human: Hlo
[17/08/23, 4:15:44 PM] ~ Kaushik: Hlo
[17/08/23, 4:15:58 PM] ~ Satyajit: Hii
[17/08/23, 4:15:59 PM] ~ TanK-human: HALO
[17/08/23, 4:15:59 PM] ~ Anish: Sup
[17/08/23, 4:16:08 PM] ~ Anish: Valo
[17/08/23, 4:16:21 PM] ~ TanK-human: Nice
[17/08/23, 4:16:29 PM] ~ Anish: Goomd
 [17/08/23, 4:16:34 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:16:35 PM] ~ Kaushik: Very good
 [17/08/23, 4:16:57 PM] ~ Anish:  GIF omitted
[17/08/23, 4:17:02 PM] ~ TanK-human: Now how the heck everyone jumped in online when bro said helo
[17/08/23, 4:17:03 PM] ~ TanK-human: ??
[17/08/23, 4:17:05 PM] ~ Anish: Good boi like me?
[17/08/23, 4:17:14 PM] ~ Anish: Bro is a magnet
[17/08/23, 4:17:25 PM] ~ Kaushik: Buti am not metal
[17/08/23, 4:17:37 PM] ~ Anish: Ur modal*
 [17/08/23, 4:17:46 PM] ~ TanK-human:  GIF omitted
[17/08/23, 4:17:50 PM] ~ Kaushik: Mg
[17/08/23, 4:18:00 PM] ~ Jithendra:  This message was deleted.
[17/08/23, 4:18:03 PM] ~ Anish: Bro is the villain in X men apocalypse
[17/08/23, 4:18:08 PM] ~ TanK-human: Totally forgot
[17/08/23, 4:18:09 PM] ~ TanK-human: Intro  <This message was edited>
[17/08/23, 4:18:12 PM] ~ Anish: Milli gram
[17/08/23, 4:18:21 PM] ~ TanK-human: Not really
[17/08/23, 4:18:23 PM] ~ Anish: U into boys?
[17/08/23, 4:18:26 PM] ~ Kaushik: Exactly no
[17/08/23, 4:18:36 PM] ~ Kaushik: Morris garages
[17/08/23, 4:18:47 PM] ~ Kaushik: It's a human thing
[17/08/23, 4:18:48 PM] ~ TanK-human: Yo seriously?
[17/08/23, 4:18:49 PM] ~ Jithendra: Covering aa
[17/08/23, 4:18:51 PM] ~ Anish: Internet inside 
[17/08/23, 4:19:01 PM] ~ Kaushik: Yeah
[17/08/23, 4:19:07 PM] ~ Anish: Real
[17/08/23, 4:19:09 PM] ~ TanK-human: Kya re covering as
[17/08/23, 4:19:18 PM] ~ Dakshit: https://discord.gg/8YPtjC8z
[17/08/23, 4:19:18 PM] ~ Kaushik: Cover drive
[17/08/23, 4:19:26 PM] ~ TanK-human: English please
[17/08/23, 4:19:26 PM] ~ Anish: Riyal I'm virat Kohli
[17/08/23, 4:19:45 PM] ~ Anish: English no coming out of me
[17/08/23, 4:19:47 PM] ~ Dakshit: vitap discord
 [17/08/23, 4:19:48 PM] ~ TanK-human:  GIF omitted
[17/08/23, 4:19:48 PM] ~ Jithendra: What Comedy aa
[17/08/23, 4:19:49 PM] ~ Kaushik: Bro create another wtsapp grp for us bro
[17/08/23, 4:19:55 PM] ~ Dakshit: freshers
[17/08/23, 4:19:56 PM] ~ TanK-human: Yeah
[17/08/23, 4:20:02 PM] ~ Anish: Dovesthunara
[17/08/23, 4:20:09 PM] ~ TanK-human: It's actually felt inappropriate
[17/08/23, 4:20:12 PM] ~ Kaushik: Daadagiri aaa
[17/08/23, 4:20:16 PM] ~ Anish: Why bro what do u wanna do
[17/08/23, 4:20:28 PM] ~ Kaushik: Fr chatting broo
[17/08/23, 4:20:31 PM] ~ Jithendra: Haa yes bro
[17/08/23, 4:20:36 PM] ~ TanK-human: No mangalgiri
[17/08/23, 4:20:42 PM] ~ Kaushik: Others won't get disturbed right
[17/08/23, 4:20:44 PM] ~ Anish: Aree gudithe mukulonchi ostadi jalebi
[17/08/23, 4:20:50 PM] ~ Anish: Fr
[17/08/23, 4:20:58 PM] ~ TanK-human: For what?
[17/08/23, 4:21:10 PM] ~ Anish: For current affairs ro
[17/08/23, 4:21:11 PM] ~ Anish: Bro
[17/08/23, 4:21:12 PM] ~ Jithendra: Restriction are there bro not to talk in telugu
[17/08/23, 4:21:17 PM] ~ TanK-human: In terms of what
[17/08/23, 4:21:23 PM] ~ TanK-human: ?
[17/08/23, 4:21:23 PM] ~ Anish: Oh sorry bro
[17/08/23, 4:21:31 PM] ~ Anish: Me English that no idea
[17/08/23, 4:21:34 PM] ~ TanK-human: 
[17/08/23, 4:21:42 PM] ~ Kaushik: Ntng
[17/08/23, 4:22:01 PM] ~ TanK-human: That thid englpese ok
[17/08/23, 4:22:08 PM] ~ Jithendra: When you come to clg you learn easly telugu
[17/08/23, 4:22:25 PM] ~ TanK-human: North boi?
[17/08/23, 4:22:33 PM] ~ Anish: Oh
[17/08/23, 4:22:38 PM] ~ Anish: Akandh Bharat
[17/08/23, 4:22:46 PM] ~ Anish: Isn't this an unofficial grp?
[17/08/23, 4:22:56 PM] ~ TanK-human: Yas
[17/08/23, 4:23:05 PM] ~ Anish: So why not Telugu 
[17/08/23, 4:23:06 PM] ~ TanK-human: But will have rules
[17/08/23, 4:23:15 PM] ~ Anish: Oh daaam
[17/08/23, 4:23:27 PM] ~ Anish: rules kya hai bhaii sab
[17/08/23, 4:23:31 PM] ~ Anish: Boliyena
[17/08/23, 4:23:40 PM] ~ TanK-human: Some North Indian are also present. They may take it as racism
[17/08/23, 4:23:53 PM] ~ Anish: OMG
[17/08/23, 4:23:56 PM] ~ Anish: Ok ok
[17/08/23, 4:24:02 PM] ~ Anish: No racism
[17/08/23, 4:24:11 PM] ~ Anish: Hamko Hindi bhi ati hai
[17/08/23, 4:24:17 PM] ~ TanK-human: Some South Bois don't know proper Hindi
[17/08/23, 4:24:23 PM] ~ Anish: Oh me too
[17/08/23, 4:24:27 PM] ~ Anish: 
[17/08/23, 4:25:05 PM] ~ Anish: Ap north see ho?
[17/08/23, 4:25:23 PM] ~ Jithendra: Bro are you north or south
[17/08/23, 4:25:36 PM] ~ Anish: Both mix dabidi
[17/08/23, 4:25:38 PM] ~ Anish: South bro
[17/08/23, 4:25:40 PM] Yash Agnihotri: North
[17/08/23, 4:25:40 PM] ~ Kaushik: Bro learned Hindi...
[17/08/23, 4:25:56 PM] ~ Anish: Oh
[17/08/23, 4:25:57 PM] ~ Anish: Damm ok
[17/08/23, 4:26:02 PM] ~ Kaushik: Wre are u from
[17/08/23, 4:26:09 PM] Yash Agnihotri: Uttar pradesh
[17/08/23, 4:26:11 PM] ~ Anish: He is from north
[17/08/23, 4:26:20 PM] ~ Jithendra: Ohh
[17/08/23, 4:26:22 PM] ~ Kaushik: Akkadiki velli aadidi ...
[17/08/23, 4:26:27 PM] ~ Anish: Aree bhaiii sab upsc likega kya?
[17/08/23, 4:26:33 PM] ~ Kaushik: Haa
[17/08/23, 4:26:51 PM] ~ Piyush: Me too
[17/08/23, 4:26:52 PM] Yash Agnihotri: Haan bhai soncha toh yahi hai 
[17/08/23, 4:26:59 PM] Yash Agnihotri: District
[17/08/23, 4:27:05 PM] ~ Anish: Woah
[17/08/23, 4:27:10 PM] ~ Anish: Bhaii tu ias banja
[17/08/23, 4:27:23 PM] Yash Agnihotri: Ok broo 
 [17/08/23, 4:27:28 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:27:29 PM] ~ Piyush: Gautam Buddha Nagar
[17/08/23, 4:27:38 PM] ~ Anish: Aur hamko bhi apke assistant bana do pleach
[17/08/23, 4:27:39 PM] ~ Piyush: Hbu?
[17/08/23, 4:27:41 PM] Yash Agnihotri: Accha
[17/08/23, 4:27:53 PM] Yash Agnihotri: Lucknow
[17/08/23, 4:28:08 PM] ~ Piyush: Nice
[17/08/23, 4:28:17 PM] Yash Agnihotri: Ok from today I declare you as my assistant
[17/08/23, 4:28:21 PM] Yash Agnihotri: 
 [17/08/23, 4:28:31 PM] ~ Anish:  GIF omitted
 [17/08/23, 4:28:51 PM] ~ Piyush:  GIF omitted
 [17/08/23, 4:29:08 PM] ~ Jithendra:  sticker omitted
 [17/08/23, 4:29:12 PM] ~ Anish:  GIF omitted
 [17/08/23, 4:29:30 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:29:40 PM] Yash Agnihotri: Jaathiratnalu 
[17/08/23, 4:29:46 PM] ~ Jithendra: Yes
 [17/08/23, 4:29:59 PM] ~ Anish:  GIF omitted
 [17/08/23, 4:30:09 PM] ~ TanK-human:  GIF omitted
 [17/08/23, 4:30:12 PM] ~ Jithendra:  sticker omitted
 [17/08/23, 4:30:47 PM] ~ TanK-human:  GIF omitted
[17/08/23, 4:30:59 PM] ~ Anish: Ye ap ho?
 [17/08/23, 4:31:02 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:31:20 PM] ~ Anish: Euuu bhaiii buffalo rizz
[17/08/23, 4:31:27 PM] ~ TanK-human: No it's my pet
 [17/08/23, 4:31:37 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:31:42 PM] ~ Anish: Oh mine too
 [17/08/23, 4:32:02 PM] ~ Anish:  GIF omitted
[17/08/23, 4:32:03 PM] ~ TanK-human:  This message was deleted.
 [17/08/23, 4:32:41 PM] ~ Jithendra:  sticker omitted
 [17/08/23, 4:37:32 PM] ~ TanK-human:  image omitted
[17/08/23, 4:39:15 PM] ~ TanK-human:  POLL:
No racism just asking , where from?
 OPTION: North India (5 votes)
 OPTION: South India (15 votes)
 OPTION: Foreign (0 votes)
[17/08/23, 4:39:44 PM] ~ AbnaV: Where east vro  
[17/08/23, 4:42:04 PM] ~ Jithendra:  POLL:
No racism just asking ,where are you from
 OPTION: North india (4 votes)
 OPTION: South (19 votes)
 OPTION: East (3 votes)
 OPTION: West (3 votes)
[17/08/23, 4:42:10 PM] ~ Jithendra: Ok bro
[17/08/23, 4:42:40 PM] ~ TanK-human:  POLL:
Where from?
 OPTION: North Indian (5 votes)
 OPTION: South Indian (18 votes)
 OPTION: East India (4 votes)
 OPTION: West India (5 votes)
 OPTION: Andaman and Nicobar Islands (1 vote)
 OPTION: Lakshadweep Islands (1 vote)
 OPTION: Other Islands (1 vote)
 OPTION: Middle part of India (1 vote)
 OPTION: Foreign (0 votes)
 OPTION: NRI (0 votes)
 OPTION: Other category (1 vote)
[17/08/23, 4:43:06 PM] ~ TanK-human: Ok?
 [17/08/23, 4:43:20 PM] ~ AbnaV:  sticker omitted
[17/08/23, 4:43:37 PM] ~ TanK-human: Of course no racism even here
 [17/08/23, 4:43:38 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:43:57 PM] ~ TanK-human: Vake saar
[17/08/23, 4:49:28 PM] ~ Tanmai Kiran :  ~ Tanmai Kiran  joined from the community
[17/08/23, 4:47:19 PM] ~ Anish: Ohh bhaiii
[17/08/23, 4:47:27 PM] ~ Anish: Itne hai kya?
[17/08/23, 4:47:45 PM] ~ Anish: Other islands 
[17/08/23, 4:48:13 PM] ~ TanK-human: Bachpan mey social thoda bohut padhne ka fayda
[17/08/23, 4:48:27 PM] ~ TanK-human: 
[17/08/23, 4:48:35 PM] ~ Anish: Wo meri geography teacher ko bhi pata nahi hai ye sab
[17/08/23, 4:49:12 PM] ~ Anish: U forgot Himalayas
[17/08/23, 4:50:07 PM] ~ TanK-human: It comes under North
[17/08/23, 4:50:20 PM] ~ Anish: Ohk
[17/08/23, 4:50:26 PM] ~ Anish: I'm weak in history sorry bro
[17/08/23, 4:50:43 PM] ~ TanK-human: It's geography bro
 [17/08/23, 4:50:46 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:50:51 PM] ~ Anish: Ryt
 [17/08/23, 4:51:11 PM] ~ Anish:  GIF omitted
[17/08/23, 4:51:35 PM] ~ TanK-human: Bro, I guess some here don't even know social can be classified like that.
[17/08/23, 4:51:49 PM] ~ Anish: Oh
[17/08/23, 4:52:10 PM] ~ Anish: Social service?
 [17/08/23, 4:52:35 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:52:35 PM] ~ Anish: What is it classified as?
 [17/08/23, 4:52:41 PM] ~ TanK-human:  GIF omitted
[17/08/23, 4:52:51 PM] ~ TanK-human: .
 [17/08/23, 4:52:52 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:53:22 PM] ~ Jithendra: Social service what bro 
[17/08/23, 4:53:40 PM] ~ Anish: Bro ask me any question in chemistry except organic chemistry, physical chemistry and inorganic chemistry
[17/08/23, 4:54:23 PM] ~ Kaushik: Wt about analytical chemistry
[17/08/23, 4:54:40 PM] ~ Anish: Ab wo kya hota hai 
 [17/08/23, 4:54:41 PM] ~ TanK-human:  GIF omitted
[17/08/23, 4:54:56 PM] ~ Jithendra: Bro i will have teeth but it cant laugh what is it  <This message was edited>
[17/08/23, 4:55:04 PM] ~ TanK-human: Is it not part of stoichiometry?
[17/08/23, 4:55:11 PM] ~ Anish: U?
[17/08/23, 4:55:23 PM] ~ Anish: It is part of physical chemistry
 [17/08/23, 4:55:24 PM] ~ Piyush:  GIF omitted
[17/08/23, 4:55:31 PM] ~ Anish: Bro got caught
 [17/08/23, 4:55:32 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:55:43 PM] ~ Anish: Jai patanjali
[17/08/23, 4:55:44 PM] ~ TanK-human: Bro has teeths while we have teeth
[17/08/23, 4:55:58 PM] ~ Anish: I have tooth
[17/08/23, 4:56:17 PM] ~ Jithendra: Anthe bro ado chinna mistake kee alla naa
[17/08/23, 4:56:21 PM] ~ TanK-human: Bro what did you do?
[17/08/23, 4:56:39 PM] ~ Anish: Malla em anukunav bro antha strict evaru undaru
[17/08/23, 4:56:45 PM] ~ TanK-human: Yo seriously?
[17/08/23, 4:56:48 PM] ~ Piyush: Nothing just my reaction to the conversation going on   <This message was edited>
[17/08/23, 4:56:56 PM] ~ Anish: Bro got caught stealing patanjali
[17/08/23, 4:57:26 PM] ~ Jithendra: Telugu Exam laga chastunnarugaa bro
[17/08/23, 4:57:38 PM] ~ Kaushik: Patanjali baba himself used all his products ..nothing left for us
[17/08/23, 4:57:40 PM] ~ Anish: Chill chill
[17/08/23, 4:57:47 PM] ~ Piyush: What
[17/08/23, 4:57:50 PM] ~ TanK-human: Taking revenge
[17/08/23, 4:57:57 PM] ~ Jithendra:  
[17/08/23, 4:57:58 PM] ~ TanK-human: For what they did
[17/08/23, 4:58:06 PM] ~ Anish: Bro grew a lot of hair just to raise the sales of henna
[17/08/23, 4:58:38 PM] ~ TanK-human: What, even beauty products?
[17/08/23, 4:58:51 PM] ~ Jithendra: Yes
[17/08/23, 4:58:53 PM] ~ TanK-human: ?
 [17/08/23, 4:59:23 PM] ~ Jithendra:  sticker omitted
[17/08/23, 4:59:24 PM] ~ Anish: Yes bro uses eye liner for his moustache
[17/08/23, 4:59:26 PM] ~ TanK-human: Why the heck does he need beauty products?
 [17/08/23, 4:59:49 PM] ~ TanK-human:  GIF omitted
[17/08/23, 5:00:04 PM] ~ Anish: John sinsaaa
 [17/08/23, 5:00:14 PM] ~ Jithendra:  sticker omitted
 [17/08/23, 5:00:38 PM] ~ Jithendra:  sticker omitted
